,ColoRect-AdenoCA::S.1,ColoRect-AdenoCA::S.2,ColoRect-AdenoCA::S.3,ColoRect-AdenoCA::S.4,ColoRect-AdenoCA::S.5,ColoRect-AdenoCA::S.6,ColoRect-AdenoCA::S.7,ColoRect-AdenoCA::S.8,ColoRect-AdenoCA::S.9,ColoRect-AdenoCA::S.10,ColoRect-AdenoCA::S.11,ColoRect-AdenoCA::S.12,ColoRect-AdenoCA::S.13,ColoRect-AdenoCA::S.14,ColoRect-AdenoCA::S.15,ColoRect-AdenoCA::S.16,ColoRect-AdenoCA::S.17,ColoRect-AdenoCA::S.18,ColoRect-AdenoCA::S.19,ColoRect-AdenoCA::S.20,ColoRect-AdenoCA::S.21,ColoRect-AdenoCA::S.22,ColoRect-AdenoCA::S.23,ColoRect-AdenoCA::S.24,ColoRect-AdenoCA::S.25,ColoRect-AdenoCA::S.26,ColoRect-AdenoCA::S.27,ColoRect-AdenoCA::S.28,ColoRect-AdenoCA::S.29,ColoRect-AdenoCA::S.30,ColoRect-AdenoCA::S.31,ColoRect-AdenoCA::S.32,ColoRect-AdenoCA::S.33,ColoRect-AdenoCA::S.34,ColoRect-AdenoCA::S.35,ColoRect-AdenoCA::S.36,ColoRect-AdenoCA::S.37,ColoRect-AdenoCA::S.38,ColoRect-AdenoCA::S.39,ColoRect-AdenoCA::S.40,ColoRect-AdenoCA::S.41,ColoRect-AdenoCA::S.42,ColoRect-AdenoCA::S.43,ColoRect-AdenoCA::S.44,ColoRect-AdenoCA::S.45,ColoRect-AdenoCA::S.46,ColoRect-AdenoCA::S.47,ColoRect-AdenoCA::S.48,ColoRect-AdenoCA::S.49,ColoRect-AdenoCA::S.50,ColoRect-AdenoCA::S.51,ColoRect-AdenoCA::S.52,ColoRect-AdenoCA::S.53,ColoRect-AdenoCA::S.54,ColoRect-AdenoCA::S.55,ColoRect-AdenoCA::S.56,ColoRect-AdenoCA::S.57,ColoRect-AdenoCA::S.58,ColoRect-AdenoCA::S.59,ColoRect-AdenoCA::S.60,ColoRect-AdenoCA::S.61,ColoRect-AdenoCA::S.62,ColoRect-AdenoCA::S.63,ColoRect-AdenoCA::S.64,ColoRect-AdenoCA::S.65,ColoRect-AdenoCA::S.66,ColoRect-AdenoCA::S.67,ColoRect-AdenoCA::S.68,ColoRect-AdenoCA::S.69,ColoRect-AdenoCA::S.70,ColoRect-AdenoCA::POLE.S.1,ColoRect-AdenoCA::POLE.S.2,ColoRect-AdenoCA::POLE.S.3,ColoRect-AdenoCA::POLE.S.4,ColoRect-AdenoCA::POLE.S.5,ColoRect-AdenoCA::POLE.S.6,ColoRect-AdenoCA::POLE.S.7,ColoRect-AdenoCA::POLE.S.8,ColoRect-AdenoCA::POLE.S.9,ColoRect-AdenoCA::POLE.S.10,ColoRect-AdenoCA::POLE.S.11,ColoRect-AdenoCA::POLE.S.12,ColoRect-AdenoCA::POLE.S.13,ColoRect-AdenoCA::POLE.S.14
SBS1,1571.7062493813064,1557.4391700380959,2126.381861083877,2352.5883615280823,3449.4487516071185,2659.3060965196,2355.8833235531815,2605.84746380034,3471.613263819541,1312.3369850751592,3128.0023956258474,1964.8675360260952,3682.5173837900907,2211.0598645787163,1689.1924142893163,2829.018612061699,2014.6741653615472,2462.123941044495,2471.169220407181,2727.2800317283286,2582.970148280112,2705.4900630369716,3534.8578856194927,2420.621475505798,2701.660802293482,3246.362497227293,2405.6525637171435,3395.1479644389397,1736.3034089345808,3559.186956834212,2433.499800337329,2138.7150326721376,1455.6608118683307,2397.640415048844,3835.7606170112185,2396.589948705756,2835.154101753379,2493.0075295852607,4029.6161604601534,2391.2105983925953,2425.131837640749,2262.9466782764603,2247.3830760731385,2198.102099514245,1842.1532230458363,1326.715000174795,2430.2376280238736,2642.4919064300498,1955.252351481851,3522.822595550363,1816.5869666952435,3013.6350881048215,3118.2565836042745,2719.79518773815,1698.5922616771659,2823.864756205014,2182.4265972266567,2725.422599067374,2749.286496182481,2534.0454870354883,2485.7169496938654,2547.2519260383583,2910.8963880826473,2250.868592558749,3523.2952012776136,2051.462231013295,2565.6358702019966,3273.1530698739916,2622.313030323144,2746.216078224479,13248.711853356628,0.0,49693.49038218189,14042.507999774642,0.0,5785.819751930966,0.0,25783.803839704007,0.0,0.0,35089.819324981785,17657.450533380557,9218.047119707464,55616.01418280362
SBS5,0.0,2134.968205047592,1661.5064109557522,1596.2623065329315,0.0,5645.273195425828,2276.1269446384345,3577.4495987906803,3115.829631351037,1683.509534060527,0.0,1063.7889771240714,0.0,0.0,0.0,3550.450609008812,3376.1426748986514,4309.814204048271,1915.353138017002,0.0,0.0,0.0,6433.830855577406,4513.813267114291,2047.5919901303832,2553.792145890746,1941.4684224275834,0.0,4808.150950423442,3640.82467964054,4406.948676869064,2651.6409218716617,0.0,0.0,3114.5470002252514,2215.8300478011593,4537.819621265519,0.0,0.0,1316.0450235038504,0.0,2163.291381686337,2211.8113861352344,4635.083806069758,2688.1117464503127,2687.076772309899,2473.4618292120367,7668.883557104919,0.0,3253.6388143736576,3783.266544037773,0.0,0.0,0.0,4570.540412292512,2206.677161566644,2135.1877425269886,1532.7603461354631,0.0,0.0,835.674415768049,3210.7995224286597,5824.30684577163,0.0,3105.357990193704,1775.4703334272203,1546.0047412317551,376.7896506520797,1984.0595686264644,2602.2219433893633,309988.05572354665,169617.54161684986,61870.16165981575,325118.8167601511,197836.5548605347,109102.39120354321,349941.30974201206,107226.66690522605,526944.4602438968,215415.90437663792,102377.77282042612,254614.70684384776,94731.45156777112,250820.85519618433
SBS10a,0.0,340.1743286680362,456.6337982356072,0.0,0.0,0.0,0.0,0.0,0.0,240.7756833799001,316.4940768767748,167.17898398933414,711.8586992030313,0.0,0.0,133.5817636802422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.2794771396248,0.0,0.0,0.0,0.0,0.0,0.0,415.16002592640604,402.62642800582705,0.0,0.0,0.0,304.7530452636249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.0862088173993,281609.88980768976,124775.86748751525,398790.2926717435,551966.259877473,364219.888772598,523222.128257511,1049237.1409292617,671188.056994682,729004.2115371505,781498.4067151243,102777.72745550932,704169.2449391893,230185.12337426934,387013.7951763744
SBS10b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0669019900623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119807.03219396567,249118.44642260636,96289.0029419405,225129.3568187107,161573.52236451049,241455.2184940356,128331.2140696118,177545.40601101215,103556.132269758,22359.219932725566,43636.70060806353,436072.0973280061,133622.04411179072,100236.55873120204
SBS17a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.3598907271683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.7555728610598,0.0,0.0,0.0,0.0,0.0,1700.683068493666,0.0,0.0,0.0,0.0,0.0,615.4627750829559,1644.1640660661694,0.0,0.0,0.0,2277.8982334242864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS17b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3973.0780922694203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5673.155842949622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1976.4086049903865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4196.989294521629,0.0,0.0,0.0,0.0,4725.138987801641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14532.154752263734,0.0,0.0,0.0,12228.968149556,0.0,51878.96013722384,0.0,0.0,0.0,15101.618511089317,0.0,0.0
SBS18,5873.816643113918,4744.853705440075,5516.075617536094,0.0,2559.798091031422,1728.0841807120937,3584.6358511483704,0.0,3789.6511755415554,4838.834978082068,3416.396941196912,2487.5501708232005,3594.9235424172825,2885.029190001443,3032.177966927811,1814.6427273788177,5110.220822326622,2954.211420566073,7206.156063519409,3532.7405308905236,5728.340761152819,0.0,4419.001642020692,0.0,1826.0635397501594,2717.380022520998,3695.595368427617,3275.6779706826087,2908.7955652317182,9032.741200256605,3098.4274789428255,0.0,2993.2162786957438,1148.7933095900717,3941.3623670214643,8453.597751809184,2121.8619011141436,1295.9197174934056,10016.72559874214,3022.6176402972087,1931.3516683812818,3038.2050437164125,4352.745378267294,4603.376670157948,2300.2747424309796,2402.5739396246236,1764.811081554246,0.0,6872.666324973372,0.0,3080.6088826093655,2867.207704596071,0.0,5504.46900785,0.0,2176.7711534532173,2975.822048487973,6371.200787738526,6557.274504053825,1188.0812187486003,2372.871115412482,3386.526831399101,5747.30478728874,0.0,2921.426804708247,0.0,1500.1449041692358,3265.524646516059,2932.3253674163097,4532.652938832705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,804.5228840183443,404.5478923946304,0.0,0.0,0.0,0.0,0.0,0.0,943.8877140985074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,709.9796305665805,0.0,0.0,714.8047191475691,0.0,0.0,0.0,0.0,0.0,634.3734029699535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493.36983765993864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.02391707308027,0.0,229675.8954521422,133974.9375891157,34167.31840214772,237314.64849640732,648074.2460769987,74325.57610332921,306792.513222039,246105.7849488443,41597.625319687664,44727.93758219061,21515.292092398766,90019.29479149314,91500.68250967392,150945.42268333945
SBS37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1351.9958707390683,0.0,2654.2373555339764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1609.8404266181597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,869.08470365022,0.0,2326.5042093941656,0.0,0.0,0.0,0.0,1619.5916047094104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS40,0.0,5798.6098875412945,0.0,0.0,20081.82937628035,9258.42421768819,0.0,0.0,7193.305398943136,0.0,12524.884953495764,0.0,10128.751627375215,18101.988193717913,5216.652017665954,1117.9192304248136,4486.474630337055,6925.107540670151,3491.6828199008532,9525.782326578767,6891.226328501585,0.0,0.0,1046.7425379972638,5306.329596656542,8405.940920099269,0.0,10820.25410285008,0.0,4486.597248448477,5456.816022609794,0.0,9909.605545184473,7374.6235032611,0.0,0.0,10427.937498000414,5128.452351982414,5539.918691701647,0.0,14937.303571784723,8077.364668155017,8186.872720816156,10737.489707140714,9810.31892222964,2917.901942742084,5950.779911840859,15140.886087837422,9714.40902081126,4447.957956964525,0.0,913.5938647004995,14999.991865460594,5603.06396803778,0.0,3912.010168033309,7042.6161003460165,0.0,5760.236210529374,10126.047775233978,6522.314265979948,12169.653309064899,5253.994314990664,16428.404955738843,5738.511343721118,4920.524505726453,6549.054103773747,7359.472669250044,7648.816678802993,11903.077000800218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
